YEAR,STATE,TUITION_IN,TUITION_OUT
2005,DC,16615.66667,16791.66667
2005,VA,10464,12919.66038
2005,FL,10038.78363,12076.3625
2005,GA,6969.860294,8866.338235
2005,MI,8593.107143,10280.83784
2005,HI,5985.647059,8601.647059
2005,ID,6724.769231,9990.769231
2005,IN,10839.90526,12444.94737
2005,IA,11448.44776,12194.49254
2005,KS,7435.183333,8690.383333
2005,MO,9563.313043,10639.38938
2005,KY,7599.578947,9976.105263
2005,LA,3651.619718,5153.338028
2005,ME,9669.580645,12119.51613
2005,MD,10671.76786,13306.28571
2005,MA,16760.26957,18413.48246
2005,MS,4492.631579,6595.763158
2005,MT,4717.75,8374.791667
2005,NE,9245.375,10139.35
2005,NV,9569.894737,11968.31579
2005,NH,13631.76,16269.36
2005,NJ,10571.5,12174.5
2005,NC,7317.325758,10973.56818
2005,ND,5204.142857,7653.285714
2005,OH,10556.53171,12246.7561
2005,WV,6539.882353,8692.4
2005,OK,6480.943396,8324.846154
2005,OR,10615.68,12984.46
2005,PA,13279.30233,14814.75494
2005,RI,17565.30769,19425.61538
2005,SC,8617.354839,11253.04839
2005,SD,7278.25,8566.833333
2005,TX,7279.885,9030.785
2005,UT,8218.296296,10488.88889
2005,VT,15970.28571,18174.95238
2005,WI,9979.257576,15330.12121
2005,WY,2758.444444,5470.444444
2005,AS,1060,1460
2005,GU,3773.333333,6502.666667
2005,MP,2210,3770
2005,PR,4490.445545,4675.009901
2005,FM,3060,3060
2005,PW,4492,4492
2005,VI,3670,10200
2005,MH,2980,3000
2006,AL,6347.171429,8484.268657
2006,IL,11389.23129,13769.82993
2006,AK,6918,10710.85714
2006,WA,8907.455696,11389.72152
2006,AZ,8427.87931,11225.08621
2006,NM,5306.432432,7492.945946
2006,AR,5723.62,7456.96
2006,CA,10387.74695,13033.50784
2006,MN,11406.19091,13054.58252
2006,CO,9324.101449,12404.62319
2006,CT,13336.14286,15819.58491
2006,NY,12375.72109,13402.94178
2006,DE,8568.4,11202
2006,DC,17686,19031.16667
2006,VA,11025.48077,14038.82979
2006,FL,10515.32955,12409.10256
2006,GA,7320.081481,9278.166667
2006,MI,9095.731092,11062.15238
2006,HI,6128.235294,8929.176471
2006,ID,7236,10693.69231
2006,IN,11618.4433,13392.48421
2006,TN,10826.72093,12798.81928
2006,IA,12292.03077,13093.66154
2006,KS,7917.616667,9249.166667
2006,MO,10336.69565,11389.52679
2006,KY,9154.686567,11344.77612
2006,LA,4412.034884,5800.627907
2006,ME,10229.69697,12658.45455
2006,MD,11310.63636,14466.88
2006,MA,17976.17699,19689.59459
2006,MS,4888.871795,7031.179487
2006,MT,5019.25,8913.291667
2006,NE,9908.075,10864.825
2006,NV,10100.22222,12717.27778
2006,NH,13369.21429,16460
2006,NJ,11082.86486,12935.04054
2006,NC,7843.955224,11506.85271
2006,ND,5527.095238,8037.238095
2006,OH,11199.6,12939.79512
2006,WV,6974.16,9203.142857
2006,OK,7186.454545,8970.867925
2006,OR,11183.55769,13587.07692
2006,PA,14040.20543,15641.784
2006,RI,18640.15385,20658.61538
2006,SC,9287.246154,11986.90476
2006,SD,7596.125,8411.208333
2006,TX,7777.923469,9717.969388
2006,UT,8414.214286,10835.42857
2006,VT,16709.19048,19866.36842
2006,WI,10618.10294,15527.95588
2006,WY,1983.375,5133.375
2006,AS,1320,1740
2006,GU,3984.666667,6866.666667
2006,MP,3025,5330
2006,PR,4529.46,4698.68
2006,FM,3060,3060
2006,PW,2140,2140
2006,VI,3726,10326
2006,MH,2980,2980
2007,AL,6933.863014,8920.013699
2007,IL,12057.72603,14558.47945
2007,AK,6610.166667,11335.16667
2007,WA,9275.75,12113.48684
2007,AZ,8617.245283,11829.96226
2007,NM,5331.648649,7648.756757
2007,AR,6188.823529,7961.215686
2007,CA,10808.60252,13655.22082
2007,MN,11920.59091,12681.50909
2007,CO,9524.044118,12690.79412
2007,CT,14272.79245,17249.56604
2007,NY,12948.05208,14036.97917
2007,DE,9409.363636,11952.81818
2007,DC,18416.13333,18592.13333
2007,VA,11918.68932,14812.18447
2007,FL,11084.11173,12878.05587
2007,GA,7893.970588,10148.78676
2007,HI,6047.941176,9443.235294
2007,ID,7642.461538,11333.15385
2007,IN,12474.52577,14243.68041
2007,TN,11699.26966,13804.08989
2007,MI,9771.059829,11629.60684
2007,IA,13069.60938,13880.75
2007,KS,8368.935484,9703.419355
2007,MO,10722.95536,11883.99107
2007,KY,9947.454545,12296.27273
2007,LA,4887.967033,6243.989011
2007,ME,10848.93548,13669.25806
2007,MD,11775.94737,14841.19298
2007,MA,19075.03509,20747.23684
2007,MS,5200.45,7412.65
2007,MT,5397.347826,9622.73913
2007,NE,10524.65854,11484.39024
2007,NV,10442.76471,13460
2007,NH,14214.11111,17581.59259
2007,NJ,12003.45946,14016.40541
2007,NC,8397.507463,12153.79851
2007,ND,5979.904762,8425.047619
2007,OH,11783.46154,13543.38942
2007,WV,7524,10035.22917
2007,OK,7550.709091,9607.727273
2007,OR,11858.34615,14073.51923
2007,PA,14861.48263,16339.12355
2007,RI,19810,21977.84615
2007,SC,10315.35294,13042.08824
2007,SD,7895.583333,8742.791667
2007,TX,8356.530928,10346.72165
2007,UT,9802.96875,12003.28125
2007,VT,18172.7619,20682.28571
2007,WI,11415.52239,16424.65672
2007,WY,2103.75,5505.75
2007,AS,1320,1740
2007,GU,4644,7887.333333
2007,MP,3025,5330
2007,PR,4694.368421,4900.378947
2007,FM,3720,3720
2007,PW,2140,2140
2007,VI,3800,10400
2007,MH,4110,4110
2008,AL,7478.28,9646
2008,IL,12679.88356,15255.91781
2008,AK,7039.333333,11989.33333
2008,WA,9785.907895,12710.42105
2008,AZ,9885.415094,12483.18868
2008,NM,5895.166667,8241.777778
2008,AR,6897.849057,8708.320755
2008,CA,11120.0875,14012.72026
2008,MN,12419.90991,13583.08738
2008,CO,10052.23529,13451.55882
2008,CT,15029.27451,18041.45833
2008,NY,13825.10563,14874.0461
2008,DE,9971.272727,12761
2008,DC,18482.66667,19886.2
2008,VA,12477.87255,15868.10989
2008,FL,11913.34197,13796.8982
2008,GA,8646.721429,10938.96992
2008,HI,7288.823529,10922.70588
2008,ID,8031.384615,11845.84615
2008,IN,13287.79381,15302.67368
2008,TN,12447.61957,14701.42045
2008,MI,10565.5,12770.90476
2008,IA,13847.92308,14635.98462
2008,KS,8864.967742,10228.62903
2008,MO,11369.53846,12611.91304
2008,KY,10694.91429,13231.14706
2008,LA,5406.150538,6754.83871
2008,ME,12131.59259,15629.77778
2008,MD,12522.63158,16045.86538
2008,MA,20298.1982,22056.36697
2008,MS,5438.425,7680.925
2008,MT,5631.434783,10010.69565
2008,NE,10785.65854,11824.46341
2008,NV,11230.3125,14569.3125
2008,NH,14740.66667,18194.74074
2008,NJ,12297.37333,14522.41096
2008,NC,9049.352941,12806.12403
2008,ND,6348.714286,8911.809524
2008,OH,12569.69856,14349.57895
2008,WV,7792.46,10170.91837
2008,OK,8290.396226,10788.33333
2008,OR,12274.76,14865.12
2008,PA,15845.15538,17723.87917
2008,RI,21555.25,24468.75
2008,SC,11068.23881,14098.07813
2008,SD,8688.304348,9444.608696
2008,TX,8972.756345,11055.90355
2008,UT,10840.70588,12884.55882
2008,VT,19312.80952,22952.73684
2008,WI,12260.2029,17338.89855
2008,WY,2227.375,5883.625
2008,AS,1950,1950
2008,GU,4938,8320.666667
2008,MP,2820,5100
2008,PR,5020.541667,5233.885417
2008,FM,3720,3720
2008,PW,2480,3560
2008,VI,3965,10895
2008,MH,3410,3410
2009,AL,8146.466667,10240.56164
2009,IL,13416.10738,15990.75839
2009,AK,7723.714286,12163.71429
2009,WA,10226.48052,13176.87013
2009,AZ,10959.69643,13608.5
2009,NM,5914.405405,8038.694444
2009,AR,7297.830189,9138.132075
2009,CA,12024.25466,15072.23975
2009,MN,12948.48276,14116.64486
2009,CO,10680.76812,13972.62319
2009,CT,15706.9,18997.74468
2009,NY,14648.36364,15897.37324
2009,DE,10516.36364,13470
2009,DC,19345.94118,20691.85714
2009,VA,13708.96364,16943.35354
2009,FL,12855.80383,14852.81667
2009,GA,9511.021898,11960.35659
2009,HI,7238.823529,11111.29412
2009,ID,8387.466667,11761.6
2009,IN,13762.73469,15785.26531
2009,TN,12840.67368,15245.94505
2009,MI,11061.38655,13280.56075
2009,IA,14739.36508,15534.26984
2009,KS,9445.015385,10873.01538
2009,MO,11907.47059,13160.61207
2009,KY,11384.54054,14003.07042
2009,LA,5707.88172,7138.462366
2009,ME,12536.35714,16082.71429
2009,MD,12948.36842,16556.78846
2009,MA,21119.64035,22833.45045
2009,MS,6055.825,8576.157895
2009,MT,5762.173913,10348.13043
2009,NE,11278.5,12299.15
2009,NV,11558.29412,15011
2009,NH,15456.48148,19070.55556
2009,NJ,13189.8169,15684.57971
2009,NC,9568.716312,13273.15672
2009,ND,6577.619048,8873.333333
2009,OH,13208.08796,14939.66986
2009,WV,8581,11114.5625
2009,OK,8663.185185,11207.44231
2009,OR,13339.85714,16213.2449
2009,PA,16556.6255,18542.55462
2009,RI,22547.33333,25148.16667
2009,SC,11660.68571,14713.13433
2009,SD,9388.208333,9866.75
2009,TX,9871.241379,11794.735
2009,UT,11619.67568,13590.69444
2009,VT,20154.1,24469.88889
2009,WI,12569.92958,14963.25352
2009,WY,2319.625,6165.625
2009,AS,2060,2340
2009,GU,5205,8905
2009,MP,2820,5100
2009,PR,5354.979167,5645.75
2009,FM,3791,3791
2009,PW,2720,3560
2009,VI,4125,16475
2009,MH,3790,3790
2010,AL,8924.133333,11311.52703
2010,IL,13937.98667,16577.72109
2010,AK,8000.375,12121.625
2010,WA,10979.275,13759.075
2010,AZ,10148.7193,12796.08772
2010,NM,6736.763158,8955.594595
2010,AR,7605.944444,9509.703704
2010,CA,12368.01749,15301.35503
2010,MN,13364.74576,14485.29126
2010,CO,10852.61111,14346.375
2010,CT,16479.69811,19842.62
2010,NY,15135.0424,16443.75357
2010,DE,10557.2,14004.5
2010,DC,20676.73333,21647.57143
2010,VA,13374.312,16248.1913
2010,FL,12635.96226,14694.22034
2010,GA,9871.042857,12284.59848
2010,HI,7319.888889,11147.88889
2010,ID,8931.375,12006.875
2010,IN,14491.3,16626.27
2010,TN,13426.44792,15896.50538
2010,MI,11844.92913,14089.11404
2010,IA,15447.47692,16238.21538
2010,KS,9486.242424,10914.06061
2010,MO,12125.98291,13333.60684
2010,KY,12142.19737,14767.57534
2010,LA,8054.333333,10261.57143
2010,ME,15085.1,18500.5
2010,MD,13484,17116.29412
2010,MA,22028.04505,23829.05556
2010,MS,6725.85,9116.75
2010,MT,5953.521739,10703.13043
2010,NE,11592.48718,12657.10256
2010,NV,10973.77778,14406.33333
2010,NH,15783.85185,19514.22222
2010,NJ,13848.97183,16301.36765
2010,NC,9990.553191,13735.44444
2010,ND,6413.2,8795.05
2010,OH,13714.97674,15522.86124
2010,WV,8974.470588,11555.46
2010,OK,9037.627451,11842.30612
2010,OR,13300.17647,16164.90196
2010,PA,17087.02041,19165.57759
2010,RI,24027.33333,26755.5
2010,SC,12142.75342,15187.56338
2010,SD,9848.375,10435.58333
2010,TX,10191.58879,12211.81643
2010,UT,11710.78378,13810.72973
2010,VT,22028.90476,26479.73684
2010,WI,13394.06329,15397.11688
2010,WY,2370.125,6276.125
2010,AS,2900,3180
2010,GU,5340,9040
2010,MP,2820,5100
2010,PR,5478.521277,5838.276596
2010,FM,3791,3791
2010,PW,3010,3610
2010,VI,4310,11800
2010,MH,4370,4370
2011,AL,9533.481013,12062.66667
2011,IL,14398.28289,17076.11409
2011,AK,8142.25,12657.25
2011,WA,11781.33333,14712.1625
2011,AZ,10466.57377,12899.81967
2011,NM,6937.078947,9483.405405
2011,AR,8037.358491,9942.811321
2011,CA,13115.20228,15932.16327
2011,MN,13795.94262,14987.08411
2011,CO,11283.38961,14496.84
2011,CT,16608.88889,20381.12
2011,NY,16017.36042,17385.46403
2011,DE,11342.91667,14393.58333
2011,DC,21573.2,22556.64286
2011,VA,14139.69531,17079.55085
2011,FL,13477.75546,15482.38342
2011,GA,10105.14583,12635.99254
2011,HI,7939.894737,11728.10526
2011,ID,10302.95,13176.25
2011,IN,15174.67677,17440.30303
2011,TN,13975.52041,16567.52632
2011,MI,12283.45238,14592.86842
2011,IA,16040.56923,16863.06154
2011,KS,10040.34328,11470.46269
2011,MO,12406.73554,13684.02479
2011,KY,12632.5443,15323.26316
2011,LA,9316.878788,11551.65152
2011,ME,16254.5,19806.2
2011,MD,13756.94545,17329.7451
2011,MA,22849.34821,24834.89815
2011,MS,7111.547619,9111.333333
2011,MT,6179,11153.34783
2011,NE,12074.75,13168.275
2011,NV,10806.83333,14335.5
2011,NH,16536.40741,20307.96296
2011,NJ,14375.44595,16953.28169
2011,NC,10301.64865,13914.96479
2011,ND,6820.428571,8990.85
2011,OH,14085.12727,15857.43458
2011,WV,9089.510204,11868.33333
2011,OK,9610.113208,12305.19608
2011,OR,14239.70588,17150.80392
2011,PA,17737.28279,19983.10823
2011,RI,25143.41667,27852.91667
2011,SC,12549.14286,15566.4
2011,SD,10329.08333,10762.33333
2011,TX,10571.01843,12707.10476
2011,UT,11808.73684,14020.05263
2011,VT,22942,27641.15789
2011,WI,13879.29268,15810.97468
2011,WY,4579.4,7838
2011,AS,2940,3220
2011,GU,5377.333333,8777.333333
2011,MP,2820,5100
2011,PR,5870.070707,6464.707071
2011,FM,3891,3891
2011,PW,3250,3610
2011,VI,4594,12574
2011,MH,4370,4370
