YEAR,STATE,AVG_MAL_YR4,AVG_FEM_YR4
2006,RI,531.375,711.5
2006,SC,675.28125,1157.796875
2006,SD,344.1304348,448.1304348
2006,TX,754.0220126,1176.544025
2006,UT,1585.860465,1700.488372
2006,VT,153.0740741,204.5185185
2006,WV,215.4423077,315.1346154
2006,WI,995.8955224,1606.985075
2006,WY,2321.454545,3450.545455
2006,AS,181,214
2006,GU,146.3333333,239.6666667
2006,MP,104,181
2006,PR,1252.338462,1810.061538
2006,FM,701,581
2006,PW,304,248
2006,VI,73,282
2006,MH,444,307
2007,AL,778.1621622,1463.662162
2007,AK,275.5,465.5
2007,WA,1065.676768,1707.464646
2007,AZ,1687.064516,2588.494624
2007,NM,1217.136364,2088.886364
2007,AR,1149.413793,2019.948276
2007,CA,705.6363636,1146.561616
2007,MN,670.552,964.104
2007,CO,1298.439024,1973.487805
2007,CT,623.6538462,1015.192308
2007,DE,366.4285714,719.4285714
2007,DC,2056.705882,3734
2007,VA,1003.728,1676.256
2007,FL,848.9192982,1497.368421
2007,GA,1138.695652,1963.47205
2007,HI,1525,2788.2
2007,ID,2234.066667,3708.8
2007,IL,569.5319149,816.6170213
2007,IN,932.7156863,1687.911765
2007,TN,1033.583333,1668.090909
2007,MI,1148.582192,2253.383562
2007,IA,921.3134328,1801.865672
2007,KS,583.7777778,920.2345679
2007,MO,1164.251969,1839.653543
2007,KY,673.5492958,1177.295775
2007,LA,935.7383178,1850.457944
2007,ME,152.6388889,282.0277778
2007,MD,800.9714286,1470.157143
2007,MA,680.6541353,1092.421053
2007,MS,393.9583333,772.3958333
2007,MT,254.4347826,320.0869565
2007,NE,1104.692308,1975.128205
2007,NV,2899.692308,4633.846154
2007,NH,267.4615385,432
2007,NJ,713.2564103,1041.777778
2007,NY,425.7467949,653.150641
2007,NC,748.9708029,1279.919708
2007,ND,268.8571429,305.3809524
2007,OH,921.5144033,1448.012346
2007,OK,844.0982143,1279.741071
2007,OR,1066.295082,1501.655738
2007,PA,1196.328767,1506.184932
2007,RI,480.9444444,692.2777778
2007,SC,751.971831,1340.140845
2007,SD,395.6521739,514.173913
2007,TX,793.1818182,1327.49697
2007,UT,1481.238095,1924.309524
2007,VT,158.0769231,216.4230769
2007,WV,227.1346154,327.4615385
2007,WI,1026.773333,1757.226667
2007,WY,3025.5,4861.7
2007,AS,212,262
2007,GU,138,261
2007,MP,61,141
2007,PR,1240.813953,1861.341085
2007,FM,576,725
2007,PW,196,233
2007,VI,106,342
2007,MH,271,348
2008,AL,753.9459459,1489.202703
2008,AK,314.5714286,525.2857143
2008,WA,956.7938144,1664.886598
2008,AZ,1538.369565,2669.402174
2008,NM,1102.395349,2055.511628
2008,AR,979.4333333,1851.166667
2008,CA,675.3299389,1160.433809
2008,MN,643.424,985.752
2008,CO,1265.39759,2050.168675
2008,CT,607.7066667,1036.653333
2008,NY,436.5681063,676.9568106
2008,DE,460.6666667,918
2008,DC,1769.388889,3467.444444
2008,VA,961.1048387,1736.040323
2008,FL,858.9692833,1627.440273
2008,GA,1125.446541,2086.566038
2008,HI,1331.631579,2576.368421
2008,ID,1956.8,3458.4
2008,IL,546.9672131,833.726776
2008,IN,827.1588785,1631.82243
2008,TN,929.0218978,1623.832117
2008,MI,1117.874126,2264.335664
2008,IA,1058.532258,2249.983871
2008,KS,566.3375,934.35
2008,MO,1055.915385,1751.630769
2008,KY,823.1466667,1337.946667
2008,LA,871.2429907,1837.71028
2008,ME,150.6578947,274.2105263
2008,MD,789.0289855,1516.304348
2008,MA,632.2074074,1048.637037
2008,MS,397.2916667,764.0208333
2008,MT,246.6521739,316
2008,NE,1011.878049,1969.146341
2008,NV,2425.925926,4278.851852
2008,NH,302.3333333,470.1666667
2008,NJ,719.3035714,1146.303571
2008,NC,709.537931,1277.896552
2008,ND,269.3809524,326.5714286
2008,OH,871.9752066,1420.454545
2008,OK,780.5555556,1274.425926
2008,OR,972.3548387,1458.677419
2008,PA,1231.766187,1595.607914
2008,RI,542.7058824,774.7058824
2008,SC,736.1571429,1388.071429
2008,SD,474.3043478,694.826087
2008,TX,782.8492308,1374.501538
2008,UT,1277.933333,1780.133333
2008,VT,169.4814815,216.7777778
2008,WV,253.1346154,349.2307692
2008,WI,954.08,1732.186667
2008,WY,2514.090909,4145.090909
2008,AS,213,312
2008,GU,145.6666667,255
2008,MP,63,116
2008,PR,1249.698413,1847.825397
2008,FM,846,862
2008,PW,181,209
2008,VI,81,280
2008,MH,306,305
2009,AL,796.6621622,1690.702703
2009,AK,281.875,462.125
2009,WA,1036.770833,1844.489583
2009,AZ,1569,2938.263158
2009,NM,1138.697674,2204.674419
2009,AR,1027.983607,2060.065574
2009,CA,692.3554217,1255.353414
2009,MN,688.0229008,1149.496183
2009,CO,1351,2317.204819
2009,CT,630.8441558,1118.766234
2009,NY,453.115894,709.7649007
2009,DE,439.6923077,942.1538462
2009,DC,1907.222222,4027.277778
2009,VA,1000.789063,1918.65625
2009,FL,875.0225806,1755.970968
2009,GA,1170.51634,2326.797386
2009,HI,1493.222222,3070.611111
2009,ID,1951.9375,3729.0625
2009,IL,558.8421053,870.0736842
2009,IN,844.7431193,1716.623853
2009,TN,1031.59542,1934.21374
2009,MI,1111.51634,2324.869281
2009,IA,1197.145161,2667.774194
2009,KS,607.8717949,1068.102564
2009,MO,1065.625899,1862.705036
2009,KY,859.9367089,1512.987342
2009,LA,744.7567568,1704.441441
2009,ME,155.0540541,278.5405405
2009,MD,961.1571429,2111.357143
2009,MA,685.5789474,1168.112782
2009,MS,404.1086957,776.0869565
2009,MT,244.6521739,317
2009,NE,1224.342105,2488.394737
2009,NV,2205.28125,4096.96875
2009,NH,252.7666667,385.8333333
2009,NJ,760.6972477,1273.348624
2009,NC,770.2587413,1455.41958
2009,ND,271.4285714,408.8095238
2009,OH,952.5020243,1640.473684
2009,OK,799.9009009,1367.225225
2009,OR,1018.016393,1585.540984
2009,PA,1306.238754,1732.795848
2009,RI,551.5294118,749.2352941
2009,SC,754.027027,1560.337838
2009,SD,500.125,828.2916667
2009,TX,787.2393939,1441.821212
2009,UT,1340.869565,2026.782609
2009,VT,193.2608696,246.6956522
2009,WV,351.5,501.86
2009,WI,1033.106667,1992.24
2009,WY,2643.454545,4738.818182
2009,AS,237,309
2009,GU,160.6666667,281.3333333
2009,MP,104,176
2009,PR,1281.261905,1941.436508
2009,FM,932,922
2009,PW,220,237
2009,VI,91,280
2009,MH,237,257
2010,AL,1110.428571,2427.480519
2010,AK,345,540.1428571
2010,WA,1026.463158,1882.042105
2010,AZ,2096.597938,4275.278351
2010,NM,1565.355556,3213.644444
2010,AR,1743.783333,3875.083333
2010,CA,904.3062016,1733.812016
2010,MN,890.0697674,1628.75969
2010,CO,1878.071429,3648.869048
2010,CT,903.3552632,1814.157895
2010,NY,469.4688525,714.5344262
2010,DE,425.4285714,929.4285714
2010,DC,2989,6923.833333
2010,VA,1387.548872,2829.323308
2010,FL,1183,2514.006231
2010,GA,1728.230769,3750.089744
2010,HI,2410.684211,5590.263158
2010,ID,3026.588235,6545.705882
2010,IL,679.6910995,1176.874346
2010,IN,1225.081818,2659.409091
2010,TN,1477.350365,3040.19708
2010,MI,1351.243902,2845.585366
2010,IA,1614.730159,3774.52381
2010,KS,822.962963,1690.320988
2010,MO,1549.955556,3094.622222
2010,KY,1153.666667,2207.888889
2010,LA,904.7073171,2058.609756
2010,ME,172.6363636,279.6969697
2010,MD,1280.690141,2970.169014
2010,MA,634.6014493,1170.188406
2010,MS,507.2553191,979.6808511
2010,MT,215.826087,276.6956522
2010,NE,1695.5,3825.1
2010,NV,3397.5,7009.352941
2010,NH,253.2413793,442.862069
2010,NJ,1055.388889,1932.092593
2010,NC,1019.611842,2089.710526
2010,ND,259.047619,353.6666667
2010,OH,1221.612648,2269.853755
2010,OK,1178.702703,2299
2010,OR,1421.166667,2503.483333
2010,PA,1520.199313,2297.707904
2010,RI,629.7222222,815.5
2010,SC,1067.807692,2336.897436
2010,SD,514.0416667,913.625
2010,TX,1016.549575,2073.849858
2010,UT,1746.755102,3043.102041
2010,VT,181.08,235.52
2010,WV,377,530.9230769
2010,WI,1430.267442,3065.313953
2010,WY,4261.636364,9274.363636
2010,AS,234,321
2010,GU,143,279.6666667
2010,MP,88,155
2010,PR,1197.133333,1917.558333
2010,FM,829,905
2010,PW,222,256
2010,VI,94,287
2010,MH,198,194
2011,AL,1302.658228,2940
2011,AK,336.4285714,546.8571429
2011,WA,1160.208333,2181.541667
2011,AZ,2281.342857,4814.333333
2011,NM,1827.6,3786.777778
2011,AR,1990.903226,4558.903226
2011,CA,1046.869565,2082.035917
2011,MN,974.6518519,1845.451852
2011,CO,2118.623656,4304.129032
2011,CT,1042.090909,2103.402597
2011,NY,497.7741935,773.4032258
2011,DE,4120.071429,9684.642857
2011,DC,3579.166667,8450.222222
2011,VA,1618.160584,3483.708029
2011,FL,1340.770588,2895.638235
2011,GA,1977.878049,4460.554878
2011,HI,2762.95,6527.6
2011,ID,3087.55,6701.75
2011,IL,756.142132,1398.847716
2011,IN,1532.719298,3140.368421
2011,TN,1987.125,4312.277778
2011,MI,1503.05988,3137.197605
2011,IA,2122.301587,5238.730159
2011,KS,964.3417722,2054.379747
2011,MO,1738.392857,3562.321429
2011,KY,1325.333333,2591.925926
2011,LA,2759.197674,6484.697674
2011,ME,443.2571429,1138.828571
2011,MD,1608.394737,3375.131579
2011,MA,721.3262411,1336.453901
2011,MS,1642.25,3700.916667
2011,MT,231.4782609,292.4347826
2011,NE,2287.243243,5352.324324
2011,NV,3726.166667,7926.166667
2011,NH,269.2758621,462.9655172
2011,NJ,1166.324324,2215.441441
2011,NC,1285.198718,2561.891026
2011,ND,295.55,414.25
2011,OH,1305.149091,2550.298182
2011,OK,1359.837838,2715.351351
2011,OR,1434.955224,2612.134328
2011,PA,1672.566667,2565.276667
2011,RI,604.4736842,853.0526316
2011,SC,1328.25,3011.7
2011,SD,543.0416667,1030.875
2011,TX,1135.605978,2411.377717
2011,UT,1906.745098,3462.176471
2011,VT,184.76,232.2
2011,WV,445.74,626.44
2011,WI,1766.163043,3630.315217
2011,WY,5137.181818,11198
2011,AS,242,351
2011,GU,149.3333333,253.3333333
2011,MP,136,180
2011,PR,1280.878049,2106.203252
2011,FM,811,959
2011,PW,171,164
2011,VI,115,340
2011,MH,186,202
2012,AL,1700.743902,3771.573171
2012,AK,377.1428571,614.7142857
2012,WA,1415.455446,2604.306931
2012,AZ,2967.495413,6028.889908
2012,NM,2332.23913,4693.282609
2012,AR,2457.537313,5362.985075
2012,CA,1288.158348,2452.230637
2012,MN,1290.741259,2535.72028
2012,CO,2579.298969,5193.907216
2012,CT,1328.166667,2626.269231
2012,NY,575.4819672,884.4229508
2012,DE,5156.066667,11451.33333
2012,DC,4752.555556,10526.33333
2012,VA,2034.659722,4157.25
